SEQKEY,Response,Creative,Marketing Segment,CHANNEL
UB00446039,N,A,13,Email
UB00447714,Y,A,13,Direct Mail
UB00448142,N,A,13,Web
UB00449744,N,A,13,Web
UB00451765,Y,A,13,Email
UB00457465,N,A,1,Direct Mail
UB00462457,N,A,54,Direct Mail
UB00468975,Y,A,13,Email
UB00471490,N,A,13,Direct Mail
UB00476101,N,A,13,Email
UB00478479,N,A,13,Direct Mail
UB00483297,N,A,13,Web
UB00484279,N,A,35,Email
UB00486332,N,A,35,Email
UB00488205,N,A,35,Web
UB00489971,N,A,35,Email
UB00495358,N,A,35,Direct Mail
UB00505628,N,A,35,Email
UB00511311,N,A,35,Email
UB00515403,N,A,35,Web
UB00515502,Y,A,35,Direct Mail
UB00515650,N,A,35,Email
UB00520460,N,A,31,Email
UB00528075,N,A,35,Direct Mail
UB00537423,N,A,35,Email
UB00537860,N,A,13,Direct Mail
UB00537902,N,A,13,Web
UB00548685,N,A,13,Direct Mail
UB00550251,N,A,13,Web
UB00550285,N,A,13,Direct Mail
UB00551622,N,A,54,Direct Mail
UB00552075,N,A,35,Direct Mail
UB00557686,N,A,13,Direct Mail
UB00558940,N,A,35,Web
UB00575001,N,A,13,Email
UB00575589,N,A,13,Web
UB00575936,N,A,1,Email
UB00581439,N,A,13,Web
UB00583526,N,A,13,Direct Mail
UB00593566,N,A,35,Web
UB00594127,N,A,13,Email
UB00596502,N,A,13,Direct Mail
UB00602524,N,A,35,Email
UB00609297,N,A,35,Email
UB00617803,N,A,13,Email
UB00626986,N,A,35,Web
UB00631085,N,A,35,Direct Mail
UB00632224,N,A,35,Email
UB00633776,N,A,13,Email
UB00635482,N,A,13,Direct Mail
UB00636118,N,A,35,Direct Mail
UB00637108,N,A,13,Email
UB00639831,N,A,35,Email
UB00643650,N,A,13,Direct Mail
UB00647818,N,A,35,Email
UB00660787,N,A,1,Direct Mail
UB00663658,N,A,35,Email
UB00663971,N,A,35,Email
UB00667063,N,A,13,Web
UB00691014,N,A,13,Email
UB00691055,Y,A,13,Direct Mail
UB00691352,N,A,35,Direct Mail
UB00695205,N,A,13,Email
UB00701151,N,A,13,Email
UB00709022,N,A,13,Email
UB00709279,N,A,13,Email
UB00712174,N,A,35,Direct Mail
UB00718114,N,A,35,Email
UB00719815,N,A,35,Web
UB00720391,N,A,35,Email
UB00721605,N,A,35,Email
UB00723437,N,A,1,Web
UB00725978,Y,A,13,Web
UB00726588,N,A,35,Web
UB00727875,N,A,13,Web
UB00727958,N,A,13,Web
UB00729707,N,A,35,Email
UB00742957,N,A,13,Email
UB00743328,N,A,35,Email
UB00744250,N,A,35,Email
UB00745349,N,A,35,Direct Mail
UB00746628,Y,A,35,Email
UB00747865,N,A,35,Web
UB00748749,N,A,35,Email
UB00748848,N,A,54,Direct Mail
UB00753160,N,A,13,Direct Mail
UB00759464,N,A,13,Email
UB00768697,N,A,35,Web
UB00771188,N,A,35,Direct Mail
UB00771378,N,A,1,Email
UB00777177,N,A,35,Email
UB00786400,N,A,35,Direct Mail
UB00787952,N,A,35,Email
UB00794081,N,A,54,Web
UB00801266,N,A,35,Direct Mail
UB00804278,N,A,54,Web
UB00817338,N,A,59,Direct Mail
UB00817916,N,A,13,Web
UB00818955,N,A,13,Direct Mail
UB00823211,N,A,13,Direct Mail
UB00823302,N,A,13,Email
UB00828889,N,A,13,Direct Mail
UB00830000,N,A,13,Direct Mail
UB00839100,N,A,35,Direct Mail
UB00843268,N,A,13,Web
UB00845487,N,A,13,Email
UB00850016,N,A,35,Email
UB00852152,N,A,35,Direct Mail
UB00853432,N,A,35,Web
UB00855742,N,A,35,Direct Mail
UB00857003,Y,A,35,Email
UB00861864,N,A,13,Web
UB00879692,N,A,13,Email
UB00879858,N,A,13,Direct Mail
UB00879940,N,A,13,Web
UB00892612,N,A,35,Direct Mail
UB00906354,N,A,13,Direct Mail
UB00912428,N,A,13,Email
UB00913814,N,A,35,Direct Mail
UB00914010,N,A,13,Direct Mail
UB00914119,N,A,13,Web
UB00917328,N,A,35,Email
UB00919068,N,A,35,Direct Mail
UB00922047,N,A,13,Web
UB00923961,N,A,35,Email
UB00937854,N,A,35,Email
UB00940981,Y,A,13,Email
UB00946822,N,A,13,Direct Mail
UB00948281,N,A,13,Email
UB00948489,N,A,13,Email
UB00950485,N,A,13,Email
UB00951426,N,A,13,Direct Mail
UB00958579,N,A,35,Email
UB00966432,N,A,35,Email
UB00969972,N,A,35,Email
UB00982603,N,A,35,Email
UB00984294,N,A,35,Email
UB00984484,N,A,35,Email
UB01009315,N,A,13,Direct Mail
UB01021252,N,A,13,Direct Mail
UB01024140,N,A,13,Email
UB01024215,N,A,13,Email
UB01024447,N,A,35,Email
UB01024793,N,A,13,Email
UB01031228,N,A,13,Web
UB01035013,N,A,35,Direct Mail
UB01044767,N,A,31,Direct Mail
UB01046176,Y,A,59,Email
UB01048362,N,A,31,Email
UB01048529,N,A,13,Direct Mail
UB01054014,N,A,35,Email
UB01059005,N,A,13,Web
UB01059120,N,A,13,Direct Mail
UB01062520,N,A,13,Web
UB01062850,N,A,13,Email
UB01064955,N,A,13,Email
UB01073287,N,A,35,Email
UB01073618,N,A,13,Email
UB01078393,N,A,13,Email
UB01078419,N,A,13,Email
UB01081215,N,A,13,Direct Mail
UB01082312,N,A,13,Email
UB01082585,N,A,2,Direct Mail
UB01085745,N,A,13,Web
UB01097369,N,A,35,Web
UB01099159,N,A,35,Direct Mail
UB01105709,N,A,13,Email
UB01106327,N,A,13,Email
UB01112606,N,A,13,Email
UB01114248,N,A,13,Direct Mail
UB01122969,N,A,35,Email
UB01124270,N,A,35,Web
UB01125186,N,A,31,Email
UB01125863,N,A,35,Direct Mail
UB01129279,N,A,35,Email
UB01131200,N,A,35,Email
UB01140052,N,A,2,Email
UB01141696,Y,A,35,Direct Mail
UB01158732,N,A,13,Email
UB01161082,N,A,2,Direct Mail
UB01169598,N,A,35,Email
UB01170711,N,A,13,Web
UB01172253,N,A,31,Direct Mail
UB01173830,N,A,31,Email
UB01174416,N,A,35,Direct Mail
UB01176973,N,A,35,Email
UB01178631,N,A,2,Email
UB01181254,N,A,13,Web
UB01186550,Y,A,13,Email
UB01188697,N,A,35,Email
UB01189943,N,A,13,Web
UB01191667,N,A,13,Direct Mail
UB01195551,N,A,13,Direct Mail
UB01206481,N,A,2,Web
UB01206986,N,A,7,Email
UB01213487,Y,A,2,Direct Mail
UB01217272,N,A,59,Email
UB01217488,N,A,7,Web
UB01220227,N,A,2,Web
UB01224245,N,A,59,Email
UB01232057,N,A,13,Direct Mail
UB01232537,Y,A,2,Email
UB01233477,N,A,35,Direct Mail
UB01237098,N,A,13,Web
UB01238062,N,A,13,Web
UB01239573,N,A,2,Direct Mail
UB01240977,Y,A,13,Direct Mail
UB01249051,N,A,35,Web
UB01259373,N,A,13,Direct Mail
UB01267269,N,A,2,Email
UB01267293,N,A,2,Email
UB01270768,N,A,2,Direct Mail
UB01285386,N,A,13,Direct Mail
UB01285493,N,A,13,Email
UB01287150,Y,A,13,Email
UB01292655,N,A,13,Email
UB01293299,N,A,13,Direct Mail
UB01295732,N,A,13,Email
UB01308303,N,A,35,Web
UB01313618,N,A,35,Direct Mail
UB01315647,N,A,13,Email
UB01319102,Y,A,13,Email
UB01319771,N,A,59,Web
UB01321322,N,A,59,Email
UB01335991,N,A,35,Web
UB01339399,N,A,35,Direct Mail
UB01340975,N,A,35,Web
UB01357169,N,A,13,Email
UB01359249,N,A,2,Email
UB01361492,N,A,35,Email
UB01367812,N,A,13,Web
UB01369396,N,A,13,Direct Mail
UB01372879,N,A,13,Email
UB01376045,N,A,13,Email
UB01383801,N,A,2,Direct Mail
UB01385129,N,A,13,Email
UB01391267,N,A,33,Email
UB01394097,N,A,2,Direct Mail
UB01398700,Y,A,13,Web
UB01402783,N,A,2,Email
UB01405349,N,A,13,Email
UB01406263,N,A,2,Email
UB01407717,N,A,13,Direct Mail
UB01408871,N,A,13,Email
UB01408947,N,A,13,Email
UB01409630,N,A,13,Direct Mail
UB01412030,N,A,33,Email
UB01416130,N,A,13,Direct Mail
UB01419027,N,A,33,Email
UB01419423,N,A,13,Email
UB01422260,N,A,13,Web
UB01423318,N,A,35,Direct Mail
UB01428440,N,A,13,Email
UB01431014,N,A,35,Web
UB01431832,N,A,13,Web
UB01438795,N,A,35,Email
UB01439231,N,A,2,Direct Mail
UB01445626,N,A,35,Email
UB01446954,N,A,35,Email
UB01455203,N,A,13,Email
UB01468057,N,A,35,Email
UB01471382,N,A,34,Email
UB01479872,N,A,34,Direct Mail
UB01481035,N,A,2,Direct Mail
UB01484195,N,A,13,Web
UB01492735,N,A,13,Web
UB01494525,N,A,13,Email
UB01496975,N,A,32,Email
UB01500925,N,A,34,Email
UB01506476,N,A,13,Direct Mail
UB01506625,N,A,13,Web
UB01509470,N,A,13,Email
UB01514207,N,A,3,Email
UB01522168,N,A,13,Email
UB01522614,N,A,13,Email
UB01528975,N,A,10,Email
UB01529684,N,A,35,Web
UB01532977,N,A,35,Direct Mail
UB01536473,N,A,35,Direct Mail
UB01539774,N,A,13,Email
UB01540483,N,A,54,Email
UB01541580,N,A,13,Email
UB01541770,N,A,35,Web
UB01546712,N,A,13,Web
UB01549047,N,A,3,Direct Mail
UB01549526,N,A,35,Email
UB01552280,N,A,13,Direct Mail
UB01553015,N,A,35,Email
UB01575034,N,A,3,Email
UB01579838,N,A,35,Web
UB01581727,N,A,1,Email
UB01589951,N,A,56,Direct Mail
UB01597186,N,A,35,Web
UB01602556,N,A,35,Email
UB01605781,N,A,33,Direct Mail
UB01606458,Y,A,3,Email
UB01607662,N,A,35,Email
UB01617646,N,A,13,Web
UB01618206,N,A,13,Direct Mail
UB01619279,N,A,13,Web
UB01634682,N,A,7,Email
UB01649953,N,A,3,Direct Mail
UB01657402,N,A,7,Email
UB01663483,N,A,13,Web
UB01664796,N,A,34,Direct Mail
UB01666197,N,A,13,Email
UB01667179,Y,A,31,Email
UB01672567,N,A,31,Email
UB01672773,Y,A,3,Web
UB01678135,N,A,3,Direct Mail
UB01678655,N,A,35,Web
UB01680404,N,A,13,Email
UB01682970,N,A,54,Email
UB01684398,N,A,35,Email
UB01694736,N,A,35,Direct Mail
UB01700053,N,A,35,Email
UB01702778,N,A,35,Email
UB01703438,N,A,35,Email
UB01704337,N,A,32,Email
UB01710680,N,A,31,Web
UB01712371,N,A,31,Direct Mail
UB01712975,N,A,7,Direct Mail
UB01715481,N,A,34,Email
UB01724533,N,A,54,Direct Mail
UB01734334,N,A,56,Direct Mail
UB01735976,N,A,56,Email
UB01739788,N,A,13,Email
UB01739887,N,A,13,Direct Mail
UB01741461,N,A,13,Direct Mail
UB01743780,N,A,9,Email
UB01750694,N,A,9,Web
UB01754886,N,A,35,Email
UB01756550,N,A,35,Email
UB01775493,N,A,32,Direct Mail
UB01776756,N,A,9,Direct Mail
UB01816800,N,A,9,Email
UB01819697,N,A,35,Web
UB01822741,N,A,56,Email
UB01824366,N,A,13,Email
UB01824788,N,A,35,Web
UB01824937,N,A,35,Direct Mail
UB01825363,N,A,9,Direct Mail
UB01825520,N,A,9,Direct Mail
UB01826577,N,A,35,Direct Mail
UB01855758,N,A,33,Email
UB01859529,N,A,54,Email
UB01864131,N,A,35,Direct Mail
UB01865658,N,A,35,Email
UB01869908,N,A,54,Web
UB01873603,N,A,31,Email
UB01874320,N,A,35,Email
UB01893395,N,A,35,Email
UB01901339,N,A,32,Direct Mail
UB01902048,N,A,35,Direct Mail
UB01906296,N,A,31,Web
UB01907021,N,A,54,Web
UB01907351,N,A,59,Direct Mail
UB01921188,Y,A,13,Web
UB01931682,N,A,59,Direct Mail
UB01933597,N,A,56,Direct Mail
UB01940097,N,A,13,Web
UB01946698,N,A,1,Email
UB01947993,N,A,7,Web
UB01950831,N,A,59,Direct Mail
UB01951987,N,A,31,Web
UB01952373,N,A,59,Email
UB01953595,N,A,7,Direct Mail
UB01956663,N,A,7,Email
UB01958529,N,A,32,Email
UB01958941,N,A,1,Web
UB01962208,N,A,32,Web
UB01963032,N,A,35,Email
UB01964303,N,A,13,Web
UB01965615,N,A,32,Email
UB01969567,N,A,13,Web
UB01995331,N,A,13,Web
UB01997295,N,A,56,Direct Mail
UB02003564,N,A,35,Web
UB02003853,N,A,35,Web
UB02009058,N,A,35,Web
UB02009538,N,A,31,Direct Mail
UB02009678,N,A,31,Direct Mail
UB02010106,N,A,1,Direct Mail
UB02020147,N,A,1,Web
UB02027811,N,A,35,Direct Mail
UB02032688,N,A,31,Email
UB02039188,N,A,7,Direct Mail
UB02043966,N,A,10,Direct Mail
UB02051720,Y,A,31,Email
UB02057453,N,A,59,Direct Mail
UB02059210,N,A,59,Web
UB02059806,N,A,54,Email
UB02062925,N,A,13,Web
UB02065852,N,A,1,Email
UB02079747,N,A,13,Email
UB02093375,N,A,7,Direct Mail
UB02097731,N,A,10,Direct Mail
UB02097996,N,A,1,Direct Mail
UB02098804,N,A,1,Web
UB02108991,N,A,32,Email
UB02109734,N,A,13,Direct Mail
UB02111102,N,A,13,Email
UB02111706,N,A,10,Email
UB02116465,N,A,13,Web
UB02116945,N,A,54,Web
UB02118222,N,A,13,Web
UB02120442,N,A,31,Web
UB02122562,N,A,31,Web
UB02124568,N,A,59,Direct Mail
UB02127017,N,A,35,Web
UB02127140,N,A,35,Email
UB02128957,N,A,31,Email
UB02129138,N,A,31,Web
UB02130698,N,A,7,Web
UB02135325,N,A,31,Email
UB02139319,N,A,13,Email
UB02140663,N,A,31,Email
UB02160703,N,A,35,Email
UB02161461,N,A,54,Direct Mail
UB02162725,N,A,54,Email
UB02164986,N,A,54,Direct Mail
UB02165850,N,A,35,Email
UB02166049,N,A,35,Email
UB02166551,N,A,54,Web
UB02169282,N,A,35,Web
UB02179414,N,A,35,Direct Mail
UB02182491,N,A,13,Direct Mail
UB02192359,N,A,31,Web
UB02199594,N,A,32,Email
UB02200913,N,A,1,Email
UB02202836,N,A,32,Email
UB02205011,N,A,13,Direct Mail
UB02212496,N,A,35,Web
UB02214450,N,A,13,Direct Mail
UB02215671,N,A,35,Email
UB02224087,N,A,35,Web
UB02231355,N,A,13,Email
UB02234888,N,A,13,Direct Mail
UB02235216,N,A,35,Email
UB02235810,N,A,31,Direct Mail
UB02240448,N,A,13,Email
UB02242147,N,A,13,Email
UB02243301,N,A,35,Web
UB02249746,N,A,1,Email
UB02250876,N,A,13,Email
UB02250983,Y,A,7,Email
UB02251478,N,A,1,Email
UB02252005,N,A,35,Email
UB02261899,N,A,31,Direct Mail
UB02261956,N,A,31,Direct Mail
UB02266054,N,A,13,Web
UB02281558,N,A,13,Email
UB02283406,N,A,35,Web
UB02288348,Y,A,13,Direct Mail
UB02292720,N,A,1,Web
UB02294049,N,A,13,Email
UB02295574,N,A,35,Web
UB02299519,N,A,13,Direct Mail
UB02332161,N,A,13,Email
UB02333789,N,A,35,Email
UB02336980,N,A,35,Direct Mail
UB02348738,N,A,35,Direct Mail
UB02350445,N,A,35,Email
UB02354330,N,A,13,Direct Mail
UB02369452,N,A,13,Direct Mail
UB02374742,N,A,13,Web
UB02379329,N,A,13,Email
UB02381531,N,A,13,Email
UB02384683,N,A,13,Email
UB02387264,N,A,13,Direct Mail
UB02388528,N,A,13,Web
UB02391639,N,A,13,Web
UB02391886,N,A,13,Email
UB02401651,N,A,13,Email
UB02402345,N,A,13,Direct Mail
UB02406478,N,A,13,Email
UB02412450,N,A,35,Email
UB02416733,N,A,35,Web
UB02416949,N,A,35,Email
UB02420560,N,A,13,Email
UB02420792,N,A,13,Direct Mail
UB02436947,N,A,35,Web
UB02442903,N,A,13,Email
UB02443794,N,A,35,Email
UB02445765,Y,A,35,Direct Mail
UB02455822,N,A,13,Web
UB02464196,N,A,35,Email
UB02465722,N,A,35,Email
UB02468197,N,A,35,Web
UB02468700,N,A,13,Direct Mail
UB02469203,N,A,35,Email
UB02472538,N,A,35,Direct Mail
UB02474443,N,A,35,Email
UB02474914,N,A,13,Email
UB02482594,N,A,13,Email
UB02482701,N,A,13,Email
UB02485522,N,A,13,Email
UB02486751,N,A,35,Direct Mail
UB02490191,N,A,35,Web
UB02491579,N,A,35,Email
UB02492148,N,A,13,Web
UB02493740,N,A,35,Email
UB02494078,N,A,13,Email
UB02495877,N,A,13,Direct Mail
UB02505832,N,A,13,Web
UB02507598,N,A,13,Direct Mail
UB02508075,N,A,13,Email
UB02518124,N,A,13,Email
UB02526515,N,A,13,Email
UB02530038,N,A,13,Email
UB02544062,N,A,13,Web
UB02544260,N,A,13,Email
UB02546059,N,A,13,Web
UB02546620,N,A,54,Web
UB02556074,N,A,13,Web
UB02558088,N,A,13,Email
UB02564557,N,A,13,Email
UB02567691,N,A,35,Email
UB02574036,N,A,35,Email
UB02574267,N,A,32,Web
UB02578631,N,A,35,Email
UB02590230,N,A,35,Email
UB02592012,N,A,35,Email
UB02593515,N,A,35,Email
UB02604627,N,A,13,Direct Mail
UB02606515,N,A,13,Web
UB02607067,N,A,13,Web
UB02617900,N,A,13,Email
UB02619039,N,A,13,Direct Mail
UB02619070,N,A,13,Email
UB02621241,N,A,7,Web
UB02645166,N,A,13,Direct Mail
UB02646008,N,A,35,Email
UB02648111,Y,A,13,Direct Mail
UB02649622,N,A,13,Direct Mail
UB02652964,N,A,35,Email
UB02656841,N,A,13,Email
UB02660520,N,A,35,Direct Mail
UB02661783,N,A,13,Direct Mail
UB02666436,N,A,35,Email
UB02667913,N,A,54,Email
UB02670719,N,A,13,Email
UB02670982,N,A,35,Web
UB02680205,N,A,31,Email
UB02682144,N,A,35,Email
UB02685527,N,A,35,Email
UB02689222,N,A,35,Direct Mail
UB02699502,N,A,13,Email
UB02701928,N,A,35,Web
UB02706364,Y,A,35,Email
UB02709137,N,A,35,Email
UB02712305,N,A,13,Email
UB02715027,N,A,13,Direct Mail
UB02716702,N,A,13,Direct Mail
UB02727188,N,A,13,Direct Mail
UB02728608,N,A,35,Email
UB02733319,N,A,13,Direct Mail
UB02740991,N,A,35,Email
UB02744431,N,A,35,Email
UB02745081,Y,A,54,Email
UB02745495,N,A,13,Direct Mail
UB02751220,N,A,35,Email
UB02753317,N,A,13,Direct Mail
UB02758506,Y,A,35,Email
UB02759884,N,A,13,Web
UB02761534,N,A,13,Email
UB02762029,N,A,35,Email
UB02764652,N,A,7,Email
UB02770527,N,A,13,Direct Mail
UB02780294,N,A,31,Web
UB02781052,N,A,13,Email
UB02781912,N,A,13,Email
UB02786150,N,A,13,Email
UB02787554,N,A,35,Email
UB02788032,N,A,13,Direct Mail
UB02789147,N,A,31,Web
UB02789980,Y,A,13,Email
UB02796217,N,A,13,Email
UB02797165,Y,A,1,Email
UB02801710,N,A,13,Direct Mail
UB02805208,N,A,13,Web
UB02805463,N,A,13,Email
UB02805521,N,A,13,Direct Mail
UB02807311,Y,A,13,Direct Mail
UB02810984,N,A,54,Email
UB02818896,N,A,13,Email
UB02820389,N,A,1,Email
UB02827491,N,A,35,Email
UB02828135,N,A,35,Web
UB02828317,N,A,7,Direct Mail
UB02832145,N,A,35,Email
UB02840353,N,A,35,Direct Mail
UB02841732,N,A,35,Email
UB02844470,N,A,54,Email
UB02846996,N,A,13,Email
UB02847259,N,A,35,Email
UB02847630,N,A,13,Web
UB02850808,N,A,54,Email
UB02865616,N,A,13,Email
UB02866804,N,A,13,Web
UB02868511,N,A,13,Web
UB02872661,N,A,35,Email
UB02875359,N,A,7,Web
UB02882892,N,A,1,Direct Mail
UB02891505,N,A,1,Email
UB02894046,N,A,13,Email
UB02895977,N,A,13,Email
UB02899730,N,A,35,Web
UB02906436,N,A,1,Web
UB02907285,N,A,13,Direct Mail
UB02908812,N,A,7,Direct Mail
UB02909802,N,A,13,Direct Mail
UB02909828,N,A,13,Web
UB02916930,N,A,13,Email
UB02924397,N,A,35,Email
UB02931558,N,A,1,Direct Mail
UB02933141,N,A,1,Email
UB02934172,N,A,35,Web
UB02939205,N,A,35,Email
UB02940963,N,A,35,Email
UB02943454,N,A,35,Email
UB02944759,N,A,35,Web
UB02950715,N,A,7,Direct Mail
UB02954717,N,A,1,Direct Mail
UB02955409,N,A,13,Web
UB02961340,N,A,13,Web
UB02974582,N,A,13,Web
UB02974665,N,A,13,Direct Mail
UB02979540,Y,A,13,Direct Mail
UB02983039,N,A,35,Email
UB02983914,N,A,35,Email
UB02989119,N,A,35,Web
UB02993665,N,A,13,Direct Mail
UB03002060,N,A,35,Email
UB03007457,N,A,35,Direct Mail
UB03018686,N,A,13,Web
UB03020377,N,A,13,Email
UB03025509,N,A,35,Email
UB03030046,N,A,13,Web
UB03033362,N,A,13,Email
UB03035847,N,A,1,Direct Mail
UB03040060,N,A,13,Email
UB03040144,N,A,13,Email
UB03044583,N,A,1,Direct Mail
UB03051356,N,A,1,Web
UB03061215,N,A,35,Email
UB03061256,N,A,35,Email
UB03066735,N,A,35,Email
UB03068046,N,A,35,Email
UB03073574,N,A,35,Email
UB03073962,N,A,1,Email
UB03075918,N,A,13,Email
UB03077823,N,A,13,Email
UB03079563,N,A,13,Web
UB03093507,N,A,13,Direct Mail
UB03100443,N,A,32,Web
UB03104296,N,A,35,Direct Mail
UB03116233,Y,A,1,Web
UB03121142,N,A,13,Web
UB03121498,N,A,1,Email
UB03122314,N,A,13,Email
UB03122397,Y,A,13,Web
UB03126836,N,A,13,Web
UB03129699,N,A,1,Web
UB03130036,N,A,35,Email
UB03130630,N,A,13,Email
UB03132180,N,A,13,Web
UB03135928,N,A,35,Email
UB03137189,N,A,35,Direct Mail
UB03154747,N,A,13,Email
UB03156361,N,A,13,Web
UB03158763,N,A,13,Email
UB03160041,N,A,13,Email
UB03165701,Y,A,13,Direct Mail
UB03166535,N,A,35,Email
UB03168069,N,A,35,Direct Mail
UB03170594,N,A,13,Email
UB03171238,N,A,32,Email
UB03192465,N,A,35,Email
UB03195435,N,A,35,Email
UB03200045,N,A,35,Direct Mail
UB03200730,N,A,13,Direct Mail
UB03204641,N,A,13,Direct Mail
UB03205416,N,A,13,Web
UB03206182,N,A,35,Web
UB03208840,N,A,13,Email
UB03210333,N,A,35,Email
UB03210481,N,A,13,Direct Mail
UB03211034,N,A,35,Direct Mail
UB03214301,N,A,13,Email
UB03235793,N,A,35,Direct Mail
UB03238383,N,A,35,Email
UB03238631,N,A,35,Direct Mail
UB03243557,N,A,35,Email
UB03257623,N,A,13,Email
UB03258795,N,A,35,Web
UB03265469,N,A,13,Email
UB03273992,N,A,35,Direct Mail
UB03276078,Y,A,13,Web
UB03286713,N,A,35,Direct Mail
UB03288545,N,A,35,Email
UB03291630,N,A,13,Email
UB03294717,N,A,35,Direct Mail
UB03295706,N,A,35,Email
UB03299419,N,A,54,Direct Mail
UB03300589,N,A,13,Direct Mail
UB03301710,N,A,35,Direct Mail
UB03305356,N,A,13,Web
UB03318482,N,A,31,Email
UB03326618,N,A,13,Direct Mail
UB03329950,N,A,13,Email
UB03334075,N,A,1,Email
UB03334695,N,A,35,Email
UB03334828,N,A,35,Email
UB03336542,N,A,35,Direct Mail
UB03337888,Y,A,1,Email
UB03337953,N,A,1,Email
UB03338944,N,A,13,Email
UB03340460,N,A,13,Direct Mail
UB03343407,N,A,13,Email
UB03343753,N,A,13,Email
UB03345642,Y,A,13,Direct Mail
UB03346012,N,A,13,Email
UB03348430,N,A,7,Web
UB03349164,N,A,13,Direct Mail
UB03349529,N,A,13,Web
UB03350014,N,A,7,Direct Mail
UB03352309,N,A,35,Email
UB03356920,N,A,54,Email
UB03375524,N,A,13,Email
UB03376829,N,A,35,Email
UB03377132,N,A,13,Direct Mail
UB03378197,N,A,35,Direct Mail
UB03381167,Y,A,1,Direct Mail
UB03383973,N,A,35,Email
UB03386810,Y,A,13,Direct Mail
UB03388550,N,A,13,Email
UB03390150,N,A,13,Web
UB03392677,N,A,35,Web
UB03394228,N,A,35,Email
UB03402922,N,A,35,Email
UB03406634,N,A,35,Email
UB03413671,N,A,35,Email
UB03422946,N,A,35,Email
UB03430279,N,A,13,Direct Mail
UB03437498,N,A,13,Web
UB03437969,N,A,33,Email
UB03450962,N,A,32,Email
UB03455300,N,A,10,Email
UB03455524,N,A,1,Direct Mail
UB03464120,N,A,32,Email
UB03466646,N,A,54,Email
UB03476470,N,A,7,Email
