SEQKEY;Response;Picture Option;Marketing Segment;CHANNEL;Zip3 (not in original)
UB05070388;N;A;35;Email;981
UB05071345;N;A;35;Email;201
UB05077649;N;A;3;Direct Mail;917
UB05081013;N;A;3;Email;750
UB05081237;N;A;3;Direct Mail;770
UB05086293;Y;A;3;Web;750
UB05087986;N;A;3;Email;331
UB05089651;N;A;59;Email;64
UB05091384;N;A;59;Email;112
UB05091533;Y;A;3;Direct Mail;917
UB05095435;N;A;32;Web;117
UB05096722;N;A;3;Direct Mail;945
UB05099189;N;A;35;Email;275
UB05103155;N;A;32;Direct Mail;631
UB05107628;N;A;31;Email;770
UB05109780;N;A;13;Email;917
UB05111257;N;A;13;Email;152
UB05114178;N;A;3;Web;331
UB05120100;N;A;13;Email;967
UB05120217;N;A;35;Email;503
UB05130182;N;A;1;Email;441
UB05130380;N;A;13;Direct Mail;945
UB05135538;N;A;1;Email;850
UB05137021;N;A;3;Web;770
UB05137591;N;A;13;Email;463
UB05138540;N;A;3;Direct Mail;331
UB05139134;N;A;13;Email;38
UB05140587;N;A;7;Web;945
UB05142781;N;A;13;Direct Mail;730
UB05144506;N;A;13;Email;973
UB05146691;N;A;13;Direct Mail;553
UB05157409;Y;A;13;Email;701
UB05163407;N;A;1;Email;331
UB05173448;N;A;3;Email;917
UB05194097;Y;A;13;Direct Mail;104
UB05198429;N;A;35;Web;701
UB05203914;N;A;13;Web;532
UB05205059;N;A;54;Direct Mail;381
UB05224456;N;A;54;Web;981
UB05227467;N;A;3;Web;945
UB05228168;N;A;13;Web;782
UB05230172;N;A;13;Email;21
UB05236393;N;A;3;Direct Mail;917
UB05249099;N;A;13;Direct Mail;18
UB05249206;N;A;13;Direct Mail;331
UB05251509;N;A;13;Email;64
UB05252143;N;A;3;Email;945
UB05258033;N;A;35;Email;352
UB05262845;N;A;1;Email;370
UB05266564;N;A;13;Email;300
UB05269543;N;A;3;Email;331
UB05270004;N;A;13;Direct Mail;402
UB05273586;N;A;13;Web;452
UB05276050;N;A;35;Email;852
UB05277033;N;A;13;Email;500
UB05278296;N;A;3;Email;945
UB05282843;N;A;13;Web;926
UB05285648;N;A;13;Direct Mail;21
UB05288865;N;A;1;Email;852
UB05292396;N;A;7;Web;875
UB05301635;N;A;13;Direct Mail;100
UB05303565;Y;A;13;Email;152
UB05310131;N;A;13;Web;286
UB05312277;N;A;35;Email;770
UB05312533;N;A;35;Direct Mail;680
UB05313861;N;A;13;Direct Mail;197
UB05318845;N;A;13;Email;750
UB05320866;N;A;13;Email;967
UB05325915;N;A;13;Direct Mail;38
UB05329883;N;A;35;Email;32
UB05330824;N;A;13;Web;841
UB05337696;N;A;1;Web;834
UB05346473;N;A;13;Web;462
UB05350319;N;A;13;Web;727
UB05351408;N;A;54;Web;32
UB05351952;N;A;13;Web;945
UB05367826;N;A;13;Web;553
UB05369632;N;A;13;Web;852
UB05370333;N;A;31;Web;21
UB05372180;N;A;13;Email;441
UB05373238;N;A;13;Direct Mail;112
UB05373295;N;A;13;Email;945
UB05373303;N;A;13;Email;770
UB05386388;N;A;35;Direct Mail;100
UB05393756;N;A;35;Email;532
UB05396346;Y;A;7;Email;841
UB05398615;N;A;35;Email;532
UB05402177;N;A;35;Web;370
UB05403605;N;A;13;Email;180
UB05405311;N;A;13;Direct Mail;720
UB05405436;N;A;35;Direct Mail;220
UB05408190;N;A;13;Web;191
UB05415864;N;A;13;Direct Mail;452
UB05418405;N;A;13;Email;750
UB05421375;N;A;13;Direct Mail;191
UB05423801;N;A;13;Direct Mail;275
UB05426267;N;A;13;Direct Mail;782
UB05428172;N;A;13;Email;234
UB05429808;N;A;13;Direct Mail;210
UB05429865;N;A;13;Direct Mail;926
UB05435649;N;A;35;Email;441
UB05436712;N;A;13;Web;21
UB05440011;N;A;13;Email;152
UB05447982;N;A;35;Direct Mail;201
UB05454376;N;A;13;Direct Mail;275
UB05458039;N;A;13;Direct Mail;234
UB05459243;N;A;13;Direct Mail;18
UB05466289;N;A;13;Email;891
UB05472717;N;A;54;Email;945
UB05473087;N;A;13;Direct Mail;968
UB05473780;N;A;35;Email;917
UB05482963;N;A;7;Direct Mail;852
UB05494265;N;A;35;Direct Mail;945
UB05494539;N;A;13;Web;750
UB05495973;N;A;35;Email;945
UB05497201;N;A;13;Direct Mail;917
UB05498225;N;A;13;Direct Mail;600
UB05503743;N;A;1;Direct Mail;201
UB05508239;N;A;35;Email;853
UB05515309;N;A;13;Email;275
UB05516935;N;A;35;Direct Mail;112
UB05518683;N;A;35;Email;770
UB05523865;N;A;35;Email;32
UB05530035;N;A;35;Direct Mail;900
UB05530159;N;A;35;Email;117
UB05538087;N;A;59;Email;60
UB05542725;N;A;13;Web;402
UB05544531;N;A;13;Web;21
UB05558655;N;A;35;Web;18
UB05564067;N;A;35;Direct Mail;32
UB05573019;Y;A;13;Web;980
UB05573647;N;A;13;Web;31
UB05577630;N;A;13;Email;331
UB05580881;N;A;13;Email;917
UB05581319;N;A;35;Email;60
UB05590153;N;A;13;Email;604
UB05594643;N;A;35;Web;945
UB05595368;N;A;13;Email;917
UB05596549;N;A;13;Direct Mail;973
UB05597992;N;A;35;Email;117
UB05615786;N;A;35;Direct Mail;945
UB05623160;N;A;35;Email;840
UB05631106;N;A;54;Direct Mail;532
UB05636725;N;A;13;Email;275
UB05636915;N;A;13;Email;32
UB05639224;N;A;54;Email;705
UB05643663;N;A;13;Web;38
UB05645361;N;A;13;Direct Mail;945
UB05645908;N;A;7;Direct Mail;331
UB05646211;N;A;13;Email;945
UB05647177;N;A;13;Web;441
UB05648241;N;A;54;Email;300
UB05649900;N;A;32;Web;21
UB05650965;N;A;35;Direct Mail;801
UB05652128;N;A;35;Direct Mail;782
UB05653043;Y;A;1;Web;500
UB05653233;N;A;35;Email;64
UB05658950;N;A;35;Direct Mail;970
UB05661129;N;A;35;Email;68
UB05668025;N;A;35;Email;630
UB05668157;N;A;35;Email;782
UB05671243;N;A;13;Email;381
UB05677703;N;A;1;Email;452
UB05677828;N;A;1;Direct Mail;462
UB05682281;N;A;1;Direct Mail;945
UB05683099;N;A;13;Web;917
UB05686571;N;A;13;Web;462
UB05688353;N;A;13;Web;630
UB05689906;N;A;32;Email;68
UB05695630;N;A;35;Email;32
UB05698550;Y;A;1;Web;402
UB05699244;N;A;35;Web;967
UB05702493;N;A;35;Email;900
UB05717681;N;A;13;Email;700
UB05725726;N;A;13;Email;275
UB05734017;N;A;35;Direct Mail;301
UB05740261;N;A;35;Email;631
UB05741897;N;A;35;Web;836
UB05744628;N;A;35;Web;38
UB05757398;N;A;35;Direct Mail;212
UB05759733;N;A;13;Direct Mail;945
UB05760301;N;A;13;Email;234
UB05764311;N;A;35;Email;331
UB05774534;Y;A;32;Email;212
UB05780622;N;A;31;Direct Mail;191
UB05781588;N;A;13;Email;582
UB05786835;Y;A;13;Web;117
UB05790860;N;A;54;Direct Mail;191
UB05792601;N;A;54;Email;705
UB05794573;N;A;13;Email;945
UB05796446;N;A;13;Email;531
UB05797659;N;A;31;Email;900
UB05801394;N;A;54;Email;370
UB05805049;N;A;35;Email;967
UB05806633;N;A;54;Email;531
UB05810544;N;A;35;Email;770
UB05812656;N;A;7;Direct Mail;530
UB05814298;N;A;7;Email;660
UB05822689;N;A;35;Email;117
UB05824289;N;A;35;Email;462
UB05825583;N;A;1;Web;705
UB05828512;N;A;13;Web;180
UB05829791;N;A;35;Email;945
UB05841887;N;A;13;Email;275
UB05846217;N;A;54;Web;303
UB05846316;N;A;31;Email;462
UB05847371;N;A;7;Direct Mail;191
UB05853791;N;A;13;Email;381
UB05856687;N;A;31;Web;770
UB05861737;N;A;35;Web;926
UB05862578;N;A;13;Web;331
UB05863618;N;A;31;Email;275
UB05867775;N;A;13;Web;331
UB05871777;N;A;32;Web;38
UB05873369;N;A;7;Email;441
UB05880018;N;A;13;Web;980
UB05897707;N;A;7;Direct Mail;926
UB05900451;N;A;54;Email;352
UB05902630;N;A;35;Direct Mail;331
UB05902796;Y;A;7;Web;331
UB05910062;N;A;13;Email;700
UB05912910;N;A;13;Email;117
UB05920103;N;A;13;Email;606
UB05923271;N;A;13;Web;32
UB05924170;N;A;13;Direct Mail;945
UB05926647;N;A;13;Web;275
UB05928601;N;A;35;Email;782
UB05962949;Y;A;1;Direct Mail;917
UB05966452;N;A;1;Web;210
UB05966619;N;A;1;Email;871
UB05973805;N;A;35;Email;853
UB05978804;N;A;31;Direct Mail;220
UB05982673;Y;A;13;Direct Mail;381
UB05986583;N;A;2;Email;100
UB05987375;N;A;54;Direct Mail;980
UB05992243;N;A;31;Email;191
UB05992888;N;A;13;Email;21
UB05992904;N;A;13;Web;100
UB05996665;N;A;13;Email;265
UB06010136;N;A;31;Direct Mail;117
UB06010730;N;A;35;Email;630
UB06010920;N;A;31;Email;900
UB06013304;N;A;1;Email;900
UB06016737;N;A;54;Direct Mail;331
UB06016794;Y;A;54;Email;917
UB06019913;N;A;7;Web;852
UB06023188;N;A;31;Email;480
UB06029672;Y;A;35;Direct Mail;201
UB06030233;N;A;54;Direct Mail;970
UB06032221;N;A;7;Email;370
UB06032619;N;A;1;Email;870
UB06033872;N;A;7;Email;532
UB06034664;N;A;13;Direct Mail;840
UB06035760;N;A;7;Email;234
UB06039341;N;A;1;Email;503
UB06039374;N;A;1;Email;197
UB06040778;N;A;7;Web;201
UB06041495;N;A;7;Web;852
UB06041982;N;A;13;Email;60
UB06042097;N;A;35;Web;210
UB06053409;N;A;54;Web;770
UB06058655;N;A;31;Email;700
UB06058721;N;A;31;Email;331
UB06059158;N;A;13;Web;750
UB06062517;N;A;13;Direct Mail;945
UB06063697;N;A;54;Email;945
UB06067136;Y;A;31;Direct Mail;705
UB06081509;N;A;31;Direct Mail;900
UB06088587;N;A;35;Email;700
UB06092522;N;A;35;Direct Mail;530
UB06094544;N;A;31;Email;210
UB06095640;N;A;13;Email;191
UB06098560;Y;A;31;Email;601
UB06103030;Y;A;31;Email;531
UB06105472;N;A;31;Email;553
UB06111140;N;A;13;Web;900
UB06111629;N;A;13;Email;500
UB06122287;N;A;1;Email;38
UB06125561;N;A;1;Email;283
UB06128219;N;A;59;Direct Mail;32
UB06133250;N;A;31;Email;531
UB06134068;N;A;35;Email;32
UB06135297;N;A;35;Email;853
UB06144570;N;A;13;Email;275
UB06145700;N;A;35;Direct Mail;191
UB06147755;N;A;35;Email;770
UB06150692;N;A;35;Direct Mail;530
UB06156798;N;A;54;Email;191
UB06157978;N;A;13;Web;945
UB06158299;N;A;35;Web;32
UB06168603;N;A;13;Web;295
UB06170435;N;A;13;Web;212
UB06199954;N;A;35;Direct Mail;201
UB06201677;N;A;35;Email;117
UB06202634;N;A;54;Email;482
UB06203624;N;A;35;Email;191
UB06206171;N;A;31;Direct Mail;117
UB06210330;N;A;35;Email;606
UB06213565;N;A;13;Email;980
UB06213912;N;A;35;Web;331
UB06220214;N;A;35;Direct Mail;441
UB06227565;Y;A;13;Direct Mail;331
UB06228050;N;A;54;Web;191
UB06234173;N;A;13;Web;18
UB06244651;N;A;35;Email;191
UB06244909;N;A;35;Email;100
UB06246300;N;A;35;Email;29
UB06246409;N;A;35;Web;750
UB06247886;N;A;13;Web;462
UB06247977;N;A;35;Email;441
UB06250658;N;A;31;Email;452
UB06250724;N;A;31;Email;871
UB06254114;N;A;31;Direct Mail;945
UB06270359;N;A;35;Email;750
UB06270979;N;A;13;Web;32
UB06271027;N;A;13;Direct Mail;60
UB06287668;N;A;35;Email;900
UB06294664;N;A;35;Direct Mail;295
UB06294763;N;A;35;Direct Mail;604
UB06295356;N;A;35;Email;152
UB06296214;N;A;35;Web;631
UB06303986;N;A;13;Email;945
UB06305882;N;A;13;Web;973
UB06308886;Y;A;13;Direct Mail;681
UB06309140;N;A;13;Email;191
UB06309884;N;A;13;Email;972
UB06315014;N;A;13;Direct Mail;750
UB06315774;N;A;35;Web;32
UB06316319;Y;A;13;Web;32
UB06321475;N;A;13;Web;981
UB06324651;N;A;13;Email;301
UB06325310;Y;A;1;Email;441
UB06325799;N;A;13;Web;64
UB06329452;N;A;59;Email;32
UB06330583;N;A;13;Direct Mail;38
UB06332290;N;A;1;Direct Mail;531
UB06335665;N;A;31;Direct Mail;900
UB06339584;N;A;13;Web;550
UB06341473;N;A;13;Email;981
UB06342935;N;A;13;Email;481
UB06343032;N;A;13;Email;802
UB06343834;N;A;13;Direct Mail;770
UB06347579;N;A;54;Email;917
UB06348031;N;A;13;Direct Mail;802
UB06357164;Y;A;13;Web;452
UB06362297;N;A;13;Email;462
UB06364228;N;A;13;Email;852
UB06365621;N;A;13;Web;917
UB06367882;N;A;35;Email;782
UB06372098;Y;A;54;Web;452
UB06374029;N;A;13;Web;441
UB06374185;N;A;13;Direct Mail;601
UB06385074;N;A;35;Email;38
UB06385413;N;A;35;Web;630
UB06385462;N;A;35;Email;482
UB06386874;N;A;35;Direct Mail;606
UB06387849;N;A;31;Email;917
UB06391262;N;A;7;Web;38
UB06396436;N;A;31;Direct Mail;21
UB06398192;N;A;31;Direct Mail;481
UB06400915;N;A;13;Direct Mail;331
UB06401640;N;A;31;Email;604
UB06403414;N;A;31;Email;300
UB06404941;N;A;31;Email;301
UB06408132;N;A;54;Web;410
UB06415632;N;A;13;Email;331
UB06417257;N;A;54;Email;481
UB06419170;N;A;13;Direct Mail;551
UB06423388;N;A;59;Email;112
UB06437321;N;A;13;Email;331
UB06442131;N;A;13;Email;275
UB06445829;N;A;13;Email;850
UB06456370;N;A;59;Email;117
UB06456438;N;A;13;Email;601
UB06457840;N;A;13;Email;21
UB06458434;N;A;13;Web;972
UB06464226;N;A;13;Web;381
UB06464556;N;A;13;Email;900
UB06464598;N;A;13;Direct Mail;554
UB06471726;N;A;35;Email;700
UB06477145;N;A;59;Email;100
UB06492839;N;A;35;Direct Mail;32
UB06500771;N;A;13;Web;18
UB06501134;N;A;35;Email;60
UB06509913;N;A;35;Email;191
UB06511406;N;A;13;Email;28
UB06512537;N;A;32;Email;660
UB06514814;N;A;13;Email;201
UB06516231;N;A;32;Email;452
UB06524342;Y;A;35;Web;945
UB06526305;N;A;1;Direct Mail;32
UB06532410;Y;A;35;Web;191
UB06535124;N;A;7;Direct Mail;152
UB06552996;N;A;34;Email;926
UB06557243;N;A;13;Direct Mail;604
UB06561138;Y;A;1;Direct Mail;234
UB06564660;N;A;7;Email;750
UB06565360;N;A;13;Email;482
UB06573570;N;A;31;Direct Mail;191
UB06573810;N;A;57;Email;945
UB06574453;Y;A;13;Web;100
UB06593057;N;A;57;Email;900
UB06595847;N;A;1;Email;875
UB06605653;N;A;59;Web;64
UB06605885;N;A;35;Direct Mail;38
UB06612170;N;A;1;Direct Mail;606
UB06620868;N;A;1;Email;945
UB06623755;N;A;1;Email;394
UB06629539;N;A;32;Direct Mail;631
UB06634893;N;A;54;Direct Mail;331
UB06641377;N;A;6;Direct Mail;32
UB06642003;N;A;35;Email;551
UB06646954;N;A;54;Email;500
UB06647242;N;A;35;Email;38
UB06648752;N;A;32;Email;331
UB06648802;N;A;32;Email;441
UB06651780;N;A;32;Web;681
UB06652481;N;A;35;Direct Mail;201
UB06660948;N;A;7;Email;100
UB06662985;N;A;35;Direct Mail;117
UB06663314;N;A;13;Direct Mail;191
UB06664494;N;A;7;Email;840
UB06667125;N;A;13;Direct Mail;191
UB06667273;N;A;35;Direct Mail;191
UB06672505;N;A;6;Web;60
UB06678114;N;A;54;Email;64
UB06683569;N;A;54;Email;601
UB06685978;Y;A;13;Email;402
UB06687073;N;A;13;Direct Mail;850
UB06688006;N;A;13;Email;265
UB06688907;N;A;13;Email;300
UB06700058;N;A;13;Direct Mail;32
UB06700348;N;A;13;Email;530
UB06700686;N;A;6;Email;32
UB06701387;N;A;13;Email;917
UB06702435;N;A;6;Email;32
UB06702542;N;A;32;Web;750
UB06704993;N;A;13;Web;286
UB06708127;N;A;13;Email;18
UB06711584;N;A;13;Email;303
UB06722664;N;A;35;Email;331
UB06726335;N;A;35;Direct Mail;275
UB06726723;N;A;6;Web;32
UB06729529;N;A;35;Email;64
UB06733315;N;A;35;Email;750
UB06741367;N;A;35;Direct Mail;967
UB06742175;N;A;13;Web;601
UB06743405;N;A;35;Email;212
UB06748016;N;A;1;Email;331
UB06765911;N;A;35;Email;21
UB06767685;N;A;35;Email;234
UB06768592;N;A;6;Web;38
UB06771711;N;A;35;Direct Mail;370
UB06775241;N;A;35;Email;945
UB06775365;N;A;35;Email;32
UB06775894;N;A;1;Direct Mail;945
UB06776769;Y;A;13;Direct Mail;152
UB06780431;Y;A;35;Web;57
UB06790851;N;A;13;Direct Mail;207
UB06791982;N;A;13;Web;112
UB06797088;N;A;13;Direct Mail;208
UB06809446;N;A;13;Email;770
UB06817498;N;A;56;Email;117
UB06822191;N;A;13;Direct Mail;300
UB06827349;N;A;13;Email;301
UB06827539;N;A;13;Web;705
UB06830228;N;A;13;Direct Mail;945
UB06835441;N;A;13;Email;32
UB06836936;N;A;13;Email;900
UB06837322;N;A;35;Direct Mail;402
UB06849459;N;A;13;Email;604
UB06855381;N;A;13;Email;331
UB06870760;N;A;35;Direct Mail;900
UB06877302;N;A;35;Email;402
UB06880363;N;A;35;Direct Mail;551
UB06880975;N;A;31;Email;531
UB06881239;N;A;35;Email;275
UB06882153;N;A;35;Direct Mail;21
UB06887939;N;A;31;Email;750
UB06888358;N;A;35;Email;452
UB06889547;N;A;31;Email;503
UB06892244;N;A;13;Email;410
UB06893721;N;A;10;Email;770
UB06893762;N;A;10;Email;917
UB06898464;N;A;31;Web;482
UB06900971;N;A;13;Email;945
UB06902589;N;A;13;Direct Mail;770
UB06913693;N;A;13;Email;191
UB06918726;N;A;13;Email;770
UB06937536;N;A;13;Email;296
UB06938021;N;A;13;Email;802
UB06939474;Y;A;13;Direct Mail;331
UB06941165;N;A;13;Email;117
UB06941959;N;A;13;Email;701
UB06944649;N;A;13;Email;331
UB06949242;N;A;56;Email;100
UB06963441;N;A;13;Direct Mail;837
UB06967046;N;A;13;Direct Mail;503
UB06967277;N;A;13;Direct Mail;64
UB06967459;N;A;13;Direct Mail;64
UB06967996;N;A;13;Direct Mail;900
UB06969786;N;A;13;Direct Mail;681
UB06973986;N;A;35;Web;381
UB06979629;N;A;35;Email;462
UB06980403;N;A;34;Direct Mail;750
UB06988232;N;A;35;Email;770
UB06990477;N;A;35;Email;117
UB06993091;N;A;35;Email;104
UB06995070;N;A;35;Direct Mail;840
UB07001985;N;A;35;Email;945
UB07009699;N;A;35;Email;402
UB07010226;N;A;35;Direct Mail;782
UB07020613;N;A;35;Direct Mail;550
UB07023591;N;A;33;Web;38
UB07025851;N;A;35;Email;481
UB07031305;N;A;13;Direct Mail;38
UB07032261;N;A;34;Email;917
UB07033061;N;A;13;Email;917
UB07038102;N;A;13;Email;917
UB07038201;Y;A;13;Direct Mail;750
UB07044308;N;A;35;Direct Mail;331
UB07047038;Y;A;13;Email;180
UB07050644;N;A;13;Email;980
UB07059413;N;A;13;Email;410
UB07060924;N;A;13;Email;28
UB07066574;N;A;13;Web;31
UB07068265;N;A;13;Email;531
UB07071707;N;A;13;Direct Mail;381
UB07072838;N;A;13;Email;381
UB07089121;N;A;13;Email;604
UB07089345;N;A;13;Direct Mail;152
UB07090087;N;A;13;Direct Mail;21
UB07094139;N;A;13;Email;750
UB07097132;N;A;35;Email;32
UB07099583;Y;A;13;Direct Mail;265
UB07099617;N;A;13;Direct Mail;800
UB07101553;N;A;10;Email;917
UB07105984;N;A;35;Email;973
UB07107873;N;A;13;Email;631
UB07114481;N;A;35;Web;441
UB07114499;N;A;35;Direct Mail;210
UB07122807;N;A;31;Email;452
UB07123300;N;A;35;Web;18
UB07125644;N;A;54;Email;295
UB07135668;N;A;13;Web;980
UB07137011;N;A;35;Direct Mail;32
UB07138746;N;A;35;Email;601
UB07139272;N;A;54;Email;880
UB07140635;N;A;35;Direct Mail;945
UB07141856;N;A;7;Email;972
UB07144298;N;A;13;Email;191
UB07148349;N;A;33;Email;104
UB07151798;N;A;33;Email;32
UB07152481;N;A;13;Web;481
UB07154057;N;A;13;Email;441
UB07168560;N;A;13;Web;980
UB07170343;N;A;13;Web;275
UB07172364;N;A;54;Direct Mail;441
UB07173024;N;A;13;Direct Mail;802
UB07173230;N;A;13;Direct Mail;531
UB07174907;Y;A;13;Direct Mail;32
UB07176480;N;A;13;Web;331
UB07192826;Y;A;13;Email;331
UB07194368;N;A;13;Email;481
UB07198443;N;A;54;Direct Mail;198
UB07205032;N;A;13;Email;945
UB07207186;N;A;56;Email;117
UB07211733;Y;A;13;Direct Mail;945
UB07213549;N;A;13;Email;100
