State,Ordered On,Product Category 1,Product Category 2,Product Category 3,Product Category 4,Total Net Sales,Total Gross Sales,Order ID,Market Segment
California,2008-02-13 00:00:00,TECHNOLOGY,COMPUTER PERIPHERALS,KEYBOARDS,Logitech Access Keyboard,$234.21,$238.9898,1,CONSUMER
California,2008-02-13 00:00:00,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Nokia 252,$2561.05,$2910.2841,1,CONSUMER
California,2008-02-14 00:00:00,OFFICE SUPPLIES,APPLIANCES,SURGE PROTECTORS,Staples 4 Outlet Surge Protector,$180.37,$180.37,1,CORPORATE
California,2008-02-14 00:00:00,OFFICE SUPPLIES,PENS & ART SUPPLIES,ART SUPPLIES,Lumber Crayons,$213.5,$237.2222,1,CORPORATE
California,2008-02-14 00:00:00,OFFICE SUPPLIES,PENS & ART SUPPLIES,ART SUPPLIES,Newell 335,$125.12,$125.12,1,CORPORATE
California,2008-02-14 00:00:00,TECHNOLOGY,COPIERS AND FAX,COPIERS,Sharp 1540cs Digital Laser Copier,$19634.64,$19634.64,1,CORPORATE
California,2008-02-14 00:00:00,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,StarTAC 3000,$1440.63,$1455.1818,1,CORPORATE
California,2008-02-15 00:00:00,FURNITURE,OFFICE FURNISHINGS,CLOCKS,"Seth Thomas 8 1/2"" Cubicle Clock",$165.68,$169.0612,1,CONSUMER
California,2008-02-15 00:00:00,FURNITURE,OFFICE FURNISHINGS,DOOR ACCESSORIES,"Master Big Foot® Doorstop, Beige",$169.24,$181.9785,1,CONSUMER
California,2008-02-19 00:00:00,FURNITURE,CHAIRS & CHAIRMATS,OFFICE CHAIRS,Bevis Steel Folding Chairs,$2141.34,$2230.5625,1,CORPORATE
California,2008-02-19 00:00:00,FURNITURE,OFFICE FURNISHINGS,LIGHTING,Longer-Life Soft White Bulbs,$81.99,$83.6633,1,CORPORATE
California,2008-02-19 00:00:00,FURNITURE,TABLES,MEETING ROOM TABLES,Bevis 44 x 96 Conference Tables,$7956.71,$8940.1236,1,CORPORATE
California,2008-02-19 00:00:00,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,POLY BINDERS,Avery Non-Stick Binders,$138.48,$144.25,1,CORPORATE
California,2008-02-20 00:00:00,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 1896,$254.13,$264.7188,1,CONSUMER
California,2008-02-20 00:00:00,OFFICE SUPPLIES,PENS & ART SUPPLIES,HIGHLIGHTERS,BIC® Brite Liner® Highlighters,$30.85,$31.4796,1,CONSUMER
California,2008-02-22 00:00:00,TECHNOLOGY,COMPUTER PERIPHERALS,MEDIA,Hewlett-Packard 4.7GB DVD+R Discs,$174.64,$187.7849,1,CONSUMER
California,2008-02-23 00:00:00,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Nokia 252,$2032.08,$2139.0316,1,HOME OFFICE
California,2008-02-24 00:00:00,OFFICE SUPPLIES,PAPER,COMPUTER PAPER,Xerox 1882,$119.04,$128,1,CORPORATE
California,2008-02-24 00:00:00,OFFICE SUPPLIES,RUBBER BANDS,PAPER CLIPS,"Acco Banker's Clasps, 5 3/4""-Long",$111.86,$121.587,1,CORPORATE
California,2008-02-25 00:00:00,FURNITURE,OFFICE FURNISHINGS,PLASTIC DESK SETS,Eldon® Wave Desk Accessories,$47.62,$50.6596,1,HOME OFFICE
California,2008-02-25 00:00:00,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 1959,$163.42,$183.618,1,CORPORATE
California,2008-02-25 00:00:00,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 210,$183.71,$199.6848,1,CORPORATE
California,2008-02-25 00:00:00,TECHNOLOGY,OFFICE MACHINES,PRINTERS,Epson DFX5000+ Dot Matrix Printer,$13098.06,$13643.8125,1,HOME OFFICE
California,2008-02-25 00:00:00,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Nokia 5185,$1498.3,$1498.3,1,HOME OFFICE
California,2008-02-25 00:00:00,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Nokia 6162m,$4202.36,$4377.4583,1,CORPORATE
California,2008-02-27 00:00:00,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,ROUND RING BINDERS,Avery Legal 4-Ring Binder,$1032.54,$1110.2581,1,CONSUMER
California,2008-02-27 00:00:00,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 1959,$176.55,$191.9022,1,HOME OFFICE
California,2008-02-27 00:00:00,OFFICE SUPPLIES,STORAGE & ORGANIZATION,PORTABLE STORAGE,Eldon Simplefile® Box Office®,$361.67,$406.3708,1,HOME OFFICE
California,2008-02-28 00:00:00,OFFICE SUPPLIES,LABELS,STANDARD LABELS,Avery 500,$299.34,$299.34,1,CORPORATE
California,2008-02-29 00:00:00,FURNITURE,OFFICE FURNISHINGS,FRAMES,Contemporary Wood/Metal Frame,$356.29,$404.875,1,SMALL BUSINESS
California,2008-02-29 00:00:00,FURNITURE,TABLES,SHOP TABLES,Safco Drafting Table,$255.48,$283.8667,1,SMALL BUSINESS
California,2008-02-29 00:00:00,OFFICE SUPPLIES,PENS & ART SUPPLIES,ART SUPPLIES,Newell 342,$148.81,$161.75,1,SMALL BUSINESS
California,2008-02-29 00:00:00,OFFICE SUPPLIES,PENS & ART SUPPLIES,PENCIL SHARPENERS,Staples SlimLine Pencil Sharpener,$54.93,$57.8211,1,SMALL BUSINESS
California,2008-02-29 00:00:00,OFFICE SUPPLIES,STORAGE & ORGANIZATION,SHELVING,Safco Industrial Wire Shelving,$4601.8,$4695.7143,1,SMALL BUSINESS
California,2008-02-29 00:00:00,TECHNOLOGY,COMPUTER PERIPHERALS,KEYBOARDS,Logitech Access Keyboard,$703.49,$790.4382,1,SMALL BUSINESS
California,2008-03-03 00:00:00,OFFICE SUPPLIES,PENS & ART SUPPLIES,ART SUPPLIES,"Crayola Anti Dust Chalk, 12/Pack",$27.44,$30.8315,1,CONSUMER
California,2008-03-03 00:00:00,OFFICE SUPPLIES,RUBBER BANDS,PINS AND TACKS,OIC Thumb-Tacks,$19.96,$21.6957,1,CONSUMER
California,2008-03-03 00:00:00,TECHNOLOGY,COMPUTER PERIPHERALS,KEYBOARDS,Microsoft Office Keyboard,$1797.15,$1872.0313,1,CONSUMER
California,2008-03-04 00:00:00,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 1960,$1488.91,$1600.9785,1,SMALL BUSINESS
California,2008-03-04 00:00:00,OFFICE SUPPLIES,PENS & ART SUPPLIES,ART SUPPLIES,Newell 31,$179.11,$201.2472,1,SMALL BUSINESS
California,2008-03-04 00:00:00,TECHNOLOGY,COMPUTER PERIPHERALS,KEYBOARDS,Belkin ErgoBoard™ Keyboard,$234.29,$254.663,1,SMALL BUSINESS
California,2008-03-04 00:00:00,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Siemens Accessory30,$1722.72,$1914.1333,1,SMALL BUSINESS
California,2008-03-05 00:00:00,OFFICE SUPPLIES,PAPER,COMPUTER PAPER,Xerox 1935,$829.21,$931.6966,1,CORPORATE
California,2008-03-09 00:00:00,OFFICE SUPPLIES,STORAGE & ORGANIZATION,PORTABLE STORAGE,File Shuttle I and Handi-File,$711.28,$773.1304,1,CORPORATE
California,2008-03-09 00:00:00,TECHNOLOGY,COMPUTER PERIPHERALS,KEYBOARDS,Fellowes EZ Multi-Media Keyboard,$589.43,$640.6848,1,SMALL BUSINESS
California,2008-03-11 00:00:00,OFFICE SUPPLIES,PENS & ART SUPPLIES,ART SUPPLIES,Newell 349,$160.92,$169.3895,1,CORPORATE
California,2008-03-12 00:00:00,OFFICE SUPPLIES,LABELS,FILE LABELS,Avery 493,$76.09,$86.4659,1,SMALL BUSINESS
California,2008-03-12 00:00:00,OFFICE SUPPLIES,PAPER,WRITINGS PADS,Unpadded Memo Slips,$142.5,$160.1124,1,SMALL BUSINESS
California,2008-03-12 00:00:00,OFFICE SUPPLIES,PENS & ART SUPPLIES,ART SUPPLIES,Newell 323,$79.47,$86.3804,1,SMALL BUSINESS
California,2008-03-14 00:00:00,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,POLY BINDERS,Avery Round Ring Poly Binders,$8.35,$8.7895,1,CONSUMER
California,2008-03-14 00:00:00,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Nokia 5185i,$8738.1,$8738.1,1,CORPORATE
California,2008-03-15 00:00:00,FURNITURE,BOOKCASES,METAL BOOKCASES,"Hon Metal Bookcases, Gray",$322.88,$326.1414,1,SMALL BUSINESS
California,2008-03-15 00:00:00,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,BINDER ACCESSORIES,Cardinal® Hold-It CD Pocket,$251.95,$257.0918,1,CONSUMER
California,2008-03-15 00:00:00,OFFICE SUPPLIES,PAPER,COMPUTER PAPER,Xerox 1938,$833.57,$833.57,1,CORPORATE
California,2008-03-15 00:00:00,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 197,$778.93,$786.798,1,CORPORATE
California,2008-03-19 00:00:00,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,BINDING MACHINES,GBC ProClick Punch Binding System,$141.6,$160.9091,1,CORPORATE
California,2008-03-19 00:00:00,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,HEAVY DUTY BINDERS,Aluminum Screw Posts,$157.12,$163.6667,1,CORPORATE
California,2008-03-19 00:00:00,TECHNOLOGY,COMPUTER PERIPHERALS,KEYBOARDS,Logitech Access Keyboard,$165.9,$174.6316,1,CONSUMER
California,2008-03-19 00:00:00,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Nokia 2160i,$7209.59,$7669.7766,1,CORPORATE
California,2008-03-19 00:00:00,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Nokia 5170,$1247.21,$1385.7889,1,CONSUMER
California,2008-03-19 00:00:00,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Siemens Accessory29,$386.5,$420.1087,1,SMALL BUSINESS
California,2008-03-19 00:00:00,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Siemens Accessory6,$1460.8,$1623.1111,1,CONSUMER
California,2008-03-20 00:00:00,FURNITURE,OFFICE FURNISHINGS,CLOCKS,"Seth Thomas 13 1/2"" Wall Clock",$748.23,$787.6105,1,CONSUMER
California,2008-03-20 00:00:00,OFFICE SUPPLIES,PAPER,COMPUTER PAPER,Xerox 1913,$988.65,$998.6364,1,CONSUMER
California,2008-03-26 00:00:00,OFFICE SUPPLIES,PAPER,COMPUTER PAPER,Xerox 189,$5628.42,$5628.42,1,CONSUMER
California,2008-03-27 00:00:00,FURNITURE,OFFICE FURNISHINGS,CLOCKS,"6"" Cubicle Wall Clock, Black",$365.21,$396.9674,1,CORPORATE
California,2008-03-27 00:00:00,OFFICE SUPPLIES,APPLIANCES,SURGE PROTECTORS,Staples 6 Outlet Surge,$179.26,$179.26,1,CORPORATE
California,2008-03-27 00:00:00,OFFICE SUPPLIES,LABELS,FILE LABELS,Avery 508,$59.89,$63.0421,1,CORPORATE
California,2008-03-27 00:00:00,OFFICE SUPPLIES,LABELS,STANDARD LABELS,Avery 520,$6.56,$7.3708,1,CORPORATE
California,2008-03-27 00:00:00,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Nokia iDEN i30sx,$3681.03,$3834.4063,1,CORPORATE
California,2008-03-28 00:00:00,OFFICE SUPPLIES,STORAGE & ORGANIZATION,PORTABLE STORAGE,Letter Size Cart,$707.86,$786.5111,1,HOME OFFICE
California,2008-03-28 00:00:00,TECHNOLOGY,COMPUTER PERIPHERALS,MEDIA,"Imation 3.5 IBM Diskettes, 10/Box",$377.06,$428.4773,1,HOME OFFICE
California,2008-03-28 00:00:00,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Nokia 6160m,$3883.12,$3922.3434,1,HOME OFFICE
California,2008-03-29 00:00:00,OFFICE SUPPLIES,PAPER,WRITINGS PADS,Wirebound Voice Message Log Book,$19.31,$20.5426,1,CORPORATE
California,2008-03-29 00:00:00,OFFICE SUPPLIES,RUBBER BANDS,BINDER CLIPS,Staples Bulldog Clip,$82.83,$83.6667,1,CORPORATE
California,2008-03-30 00:00:00,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,ROUND RING BINDERS,Lock-Up Easel 'Spel-Binder',$1381.65,$1409.8469,1,CORPORATE
California,2008-03-30 00:00:00,OFFICE SUPPLIES,PENS & ART SUPPLIES,HIGHLIGHTERS,4009 Highlighters,$7.3,$7.9348,1,CORPORATE
California,2008-03-31 00:00:00,FURNITURE,TABLES,MEETING ROOM TABLES,Balt Solid Wood Round Tables,$5824.65,$6196.4362,1,SMALL BUSINESS
California,2008-03-31 00:00:00,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,HEAVY DUTY BINDERS,Acco Hanging Data Binders,$99.25,$100.2525,1,SMALL BUSINESS
California,2008-03-31 00:00:00,OFFICE SUPPLIES,RUBBER BANDS,BINDER CLIPS,Staples Bulldog Clip,$80.04,$80.8485,1,CONSUMER
California,2008-03-31 00:00:00,OFFICE SUPPLIES,RUBBER BANDS,PAPER CLIPS,Staples Vinyl Paper Clips,$206.75,$219.9468,1,CONSUMER
California,2008-03-31 00:00:00,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Nokia i500plus,$417.5,$421.7172,1,CONSUMER
California,2008-04-02 00:00:00,FURNITURE,CHAIRS & CHAIRMATS,OFFICE CHAIRS,Global Comet™ Stacking Arm Chair,$919.57,$978.266,1,CONSUMER
California,2008-04-02 00:00:00,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 1951,$375.66,$403.9355,1,CONSUMER
California,2008-04-02 00:00:00,TECHNOLOGY,COMPUTER PERIPHERALS,KEYBOARDS,Micro Innovations 104 Keyboard,$353.7,$384.4565,1,CONSUMER
California,2008-04-02 00:00:00,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Nokia CF 768,$1591.58,$1788.2921,1,CONSUMER
California,2008-04-04 00:00:00,OFFICE SUPPLIES,LABELS,STANDARD LABELS,Avery 517,$29.43,$30.0306,1,CORPORATE
California,2008-04-05 00:00:00,OFFICE SUPPLIES,RUBBER BANDS,PAPER CLIPS,Acco® Glide Clips,$164.03,$172.6632,1,CONSUMER
California,2008-04-05 00:00:00,TECHNOLOGY,OFFICE MACHINES,PRINTERS,Epson LQ-570e Dot Matrix Printer,$11670.56,$12548.9892,1,CONSUMER
California,2008-04-06 00:00:00,OFFICE SUPPLIES,ENVELOPES,COLORED ENVELOPES,Colored Envelopes,$91.56,$92.4848,1,SMALL BUSINESS
California,2008-04-06 00:00:00,TECHNOLOGY,COMPUTER PERIPHERALS,KEYBOARDS,Logitech Cordless Navigator Duo,$2869.27,$3052.4149,1,SMALL BUSINESS
California,2008-04-08 00:00:00,FURNITURE,CHAIRS & CHAIRMATS,OFFICE CHAIRS,Safco Contoured Stacking Chairs,$8272.75,$8617.4479,1,SMALL BUSINESS
California,2008-04-08 00:00:00,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Nokia T68,$221.98,$221.98,1,SMALL BUSINESS
California,2008-04-10 00:00:00,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Nokia 2160,$3632.14,$4035.7111,1,CORPORATE
California,2008-04-10 00:00:00,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Siemens Accessory13,$1548.09,$1646.9043,1,CORPORATE
California,2008-04-11 00:00:00,FURNITURE,OFFICE FURNISHINGS,FRAMES,DAX Clear Channel Poster Frame,$755.67,$763.303,1,CONSUMER
California,2008-04-11 00:00:00,OFFICE SUPPLIES,STORAGE & ORGANIZATION,PORTABLE STORAGE,Home/Office Personal File Carts,$1024.93,$1090.3511,1,CONSUMER
California,2008-04-12 00:00:00,FURNITURE,OFFICE FURNISHINGS,CLOCKS,24-Hour Round Wall Clock,$987.82,$1028.9792,1,SMALL BUSINESS
California,2008-04-12 00:00:00,OFFICE SUPPLIES,LABELS,STANDARD LABELS,Avery 482,$121.48,$126.5417,1,SMALL BUSINESS
California,2008-04-12 00:00:00,OFFICE SUPPLIES,PENS & ART SUPPLIES,ART SUPPLIES,Newell 320,$202.83,$213.5053,1,SMALL BUSINESS
California,2008-04-14 00:00:00,FURNITURE,CHAIRS & CHAIRMATS,OFFICE CHAIRS,"Leather Task Chair, Black",$4109.36,$4371.6596,1,CORPORATE
California,2008-04-14 00:00:00,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,POLY BINDERS,"Avery® Durable Plastic 1"" Binders",$195.12,$212.087,1,CORPORATE
California,2008-04-14 00:00:00,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Nokia 6120,$70.78,$76.1075,1,CORPORATE
California,2008-04-16 00:00:00,TECHNOLOGY,COMPUTER PERIPHERALS,MEDIA,Imation CD-R,$112.12,$113.2525,1,CORPORATE
California,2008-04-16 00:00:00,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Siemens Accessory32,$2624.99,$2853.25,1,CORPORATE
California,2008-04-20 00:00:00,FURNITURE,TABLES,MEETING ROOM TABLES,Bevis 36 x 72 Conference Tables,$4218.57,$4585.4022,1,CONSUMER
California,2008-04-20 00:00:00,OFFICE SUPPLIES,LABELS,FILE LABELS,Avery File Folder Labels,$85.42,$85.42,1,CONSUMER
